Date,Outfall Location,CSO_ID,TotalMinutes_combined,Volume_combined,Discharge Latitude,Discharge Longitude,Treated?,notes
01-16-2021,"Baxter Park/Assembly Row, just downstream of Rte. 28 Bridge",SOM007A/ MWR205A,15,0.02,NA,NA,NA,NA
01-16-2021,Draw Seven Park,MWR205,221,5.53,NA,NA,NA,NA
01-16-2021,"Upper Inner Harbor, upstream of N. Washington St. bridge",MWR203,239,15.31,NA,NA,NA,NA
01-17-2022,"Baxter Park/Assembly Row, just downstream of Rte. 28 Bridge",SOM007A/ MWR205A,120,0.36,NA,NA,NA,NA
01-17-2022,Draw Seven Park,MWR205,274,3.07,NA,NA,NA,NA
01-17-2022,"Upper Inner Harbor, upstream of N. Washington St. bridge",MWR203,156,7.6,NA,NA,NA,NA
01-20-2023,Draw Seven Park,MWR205,30,0.86,NA,NA,NA,NA
01-23-2023,Draw Seven Park,MWR205,16,0.25,NA,NA,NA,NA
01-25-2020,Draw Seven Park,MWR205,126,0.31,NA,NA,NA,NA
01-26-2023,"Baxter Park/Assembly Row, just downstream of Rte. 28 Bridge",SOM007A/ MWR205A,185,4.08,NA,NA,NA,NA
01-26-2023,Draw Seven Park,MWR205,278,4.57,NA,NA,NA,NA
01-26-2023,"Upper Inner Harbor, upstream of N. Washington St. bridge",MWR203,218,14.7,NA,NA,NA,NA
02-04-2022,Draw Seven Park,MWR205,99,4.37,NA,NA,NA,NA
02-04-2022,"Upper Inner Harbor, upstream of N. Washington St. bridge",MWR203,139,8.47,NA,NA,NA,NA
02-08-2022,Draw Seven Park,MWR205,129,1.77,NA,NA,NA,NA
02-08-2022,"Upper Inner Harbor, upstream of N. Washington St. bridge",MWR203,62,3.28,NA,NA,NA,NA
02-16-2021,Draw Seven Park,MWR205,18,0.45,NA,NA,NA,NA
02-27-2020,Draw Seven Park,MWR205,207,2.12,NA,NA,NA,NA
03-02-2023,"Baxter Park/Assembly Row, just downstream of Rte. 28 Bridge",SOM007A/ MWR205A,75,0.7,NA,NA,NA,NA
03-02-2023,Draw Seven Park,MWR205,185,0.9,NA,NA,NA,NA
03-04-2023,Draw Seven Park,MWR205,172,0.25,NA,NA,NA,NA
03-14-2023,"Baxter Park/Assembly Row, just downstream of Rte. 28 Bridge",SOM007A/ MWR205A,255,4.45,NA,NA,NA,NA
03-14-2023,Between Magazine Park and BU Bridge,MWR201,196,12.11,NA,NA,NA,NA
03-14-2023,Draw Seven Park,MWR205,739,16.82,NA,NA,NA,NA
03-14-2023,"Upper Inner Harbor, upstream of N. Washington St. bridge",MWR203,578,47.99,NA,NA,NA,NA
03-23-2020,"Baxter Park/Assembly Row, just downstream of Rte. 28 Bridge",SOM007A/ MWR205A,282,1.36,NA,NA,NA,NA
03-23-2020,Draw Seven Park,MWR205,366,5.15,NA,NA,NA,NA
03-23-2020,"Upper Inner Harbor, upstream of N. Washington St. bridge",MWR203,344,25.25,NA,NA,NA,NA
03-25-2022,Draw Seven Park,MWR205,111,0.6,NA,NA,NA,NA
03-28-2021,Draw Seven Park,MWR205,41,1.22,NA,NA,NA,NA
04-01-2021,Draw Seven Park,MWR205,94,1.65,NA,NA,NA,NA
04-03-2020,"Baxter Park/Assembly Row, just downstream of Rte. 28 Bridge",SOM007A/ MWR205A,148,0.02,NA,NA,NA,NA
