OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MA,USGS Massachusetts Water Science Center,USGS-01101294,"MAPLE MEADOW BROOK, WILMINGTON MA",Stream,,01090001,,,,,42.52245278000000,-71.1644583000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,83,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,25,017,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01101296,"SAWMILL BROOK AT CHESTNUT ST, WILMINGTON MA",Stream,,01090001,,,,,42.52719444000000,-71.1723306000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,85,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,25,017,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01101298,"MAPLE MEADOW BK, AT MIDDLESEX CANAL, WILMINGTON MA",Stream,,01090001,,,,,42.53349444000000,-71.1627556000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,80,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,25,017,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01101500,"IPSWICH RIVER AT SOUTH MIDDLETON, MA",Stream,,01090001,44.5,sq mi,44.5,sq mi,42.56953869000000,-71.0269974000000,,1,seconds,Interpolated from MAP.,NAD83,44.16,feet,.1,feet,Level or other surveyed method.,NAVD88,US,25,009,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01102345,"SAUGUS RIVER AT SAUGUS IRONWORKS AT SAUGUS, MA",Stream,,01090001,20.8,sq mi,20.8,sq mi,42.46954040000000,-71.0069954000000,24000,1,seconds,Interpolated from MAP.,NAD83,14.20,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,25,009,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01103138,"CHARLES RIVER AT MILFORD SEWER PLANT, MILFORD, MA",Stream,,01090001,,,,,42.11990830000000,-71.5070000000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,232,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,25,027,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01103139,"CHARLES RIVER AT MELLEN STREET, MILFORD, MA",Stream,,01090001,,,,,42.11695000000000,-71.5013583000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,231,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,25,027,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01103280,"CHARLES RIVER AT MEDWAY, MA",Stream,,01090001,65.7,sq mi,,,42.13981970000000,-71.3895032000000,25000,1,seconds,Interpolated from MAP.,NAD83,174.23,feet,10,feet,Interpolated from topographic map.,NAVD88,US,25,021,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01103305,"CHARLES RIVER NEAR MILLIS, MA",Stream,,01090001,84.00,sq mi,84.0,sq mi,42.13315330000000,-71.3622800000000,,1,seconds,Interpolated from MAP.,NAD83,125.00,feet,5,feet,Interpolated from topographic map.,NGVD29,US,25,021,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01104305,"Stony Br. Unnamed Trib 3, nr Winter St. Lincoln MA",Stream,,01090001,0.087,sq mi,0.087,sq mi,42.40925000000000,-71.2760277800000,25000,.1,seconds,Interpolated from MAP.,NAD83,321,feet,10,feet,Interpolated from topographic map.,NGVD29,US,25,017,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01104370,"STONY BROOK AT VILES STREET, NEAR WESTON, MA",Stream,,01090001,10.2,sq mi,10.2,sq mi,42.38555556000000,-71.2894444000000,,.5,seconds,Interpolated from MAP.,NAD83,129.21,feet,10,feet,Interpolated from topographic map.,NAVD88,US,25,017,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01104390,"STONY BROOK AT KENDAL GREEN, MA",Stream,,01090001,10.4,sq mi,10.4,sq mi,42.37676256000000,-71.2814460000000,24000,1,seconds,Interpolated from MAP.,NAD83,90,feet,5,feet,Interpolated from topographic map.,NGVD29,US,25,017,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01104405,"HOBBS BROOK AT MILL ST NR LINCOLN, MA",Stream,,01090001,2.16,sq mi,2.16,sq mi,42.43648400000000,-71.2695014000000,24000,1,seconds,Interpolated from MAP.,NAD83,175,feet,5,feet,Interpolated from topographic map.,NGVD29,US,25,017,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01104410,"CAMBRIDGE RES., UNNAMED TRIB 1, NR LEXINGTON, MA",Stream,,01090001,0.35,sq mi,0.35,sq mi,42.43648406000000,-71.2642235000000,24000,1,seconds,Interpolated from MAP.,NAD83,175,feet,5,feet,Interpolated from topographic map.,NGVD29,US,25,017,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01104415,"CAMBRIDGE RES., UNNAMED TRIB 2, NR LEXINGTON, MA",Stream,,01090001,0.41,sq mi,0.41,sq mi,42.43592855000000,-71.2600567000000,24000,1,seconds,Interpolated from MAP.,NAD83,174.20,feet,5,feet,Interpolated from topographic map.,NAVD88,US,25,017,,,,,,,,,,NWIS
