agency_cd,site_no,dateTime,X_72019_00003,X_72019_00003_cd,X_00020_00003,X_00020_00003_cd,X_00010_00003,X_00010_00003_cd,X_00060_00003,X_00060_00003_cd,X_00010_00001,X_00010_00001_cd,X_62623_00002,X_62623_00002_cd,X_00020_00001,X_00020_00001_cd,X_00020_00002,X_00020_00002_cd,X_63680_00001,X_63680_00001_cd,X_63680_00002,X_63680_00002_cd,X_63680_00003,X_63680_00003_cd,X_00010_00002,X_00010_00002_cd,X_00095_00001,X_00095_00001_cd,X_00095_00002,X_00095_00002_cd,X_62623_00001,X_62623_00001_cd,X_62623_00003,X_62623_00003_cd,X_00065_00003,X_00065_00003_cd,X_62615_00003,X_62615_00003_cd,X_00095_00003,X_00095_00003_cd,X_72022_00003,X_72022_00003_cd,X_00035_00003,X_00035_00003_cd,X_00045_00006,X_00045_00006_cd,X_62608_00003,X_62608_00003_cd,X_72198_00001,X_72198_00001_cd,tz_cd,outputDatacoords.dec_lat_va,outputDatacoords.dec_long_va
USGS,01101000,2023-10-07T00:00:00Z,NA,NA,NA,NA,NA,NA,25.7,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-08T00:00:00Z,NA,NA,NA,NA,NA,NA,24.3,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-09T00:00:00Z,NA,NA,NA,NA,NA,NA,22.4,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-10T00:00:00Z,NA,NA,NA,NA,NA,NA,20.6,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-11T00:00:00Z,NA,NA,NA,NA,NA,NA,19.5,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-12T00:00:00Z,NA,NA,NA,NA,NA,NA,19.1,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-13T00:00:00Z,NA,NA,NA,NA,NA,NA,19.3,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-14T00:00:00Z,NA,NA,NA,NA,NA,NA,18.6,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-15T00:00:00Z,NA,NA,NA,NA,NA,NA,18,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-16T00:00:00Z,NA,NA,NA,NA,NA,NA,18,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-17T00:00:00Z,NA,NA,NA,NA,NA,NA,18.4,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-18T00:00:00Z,NA,NA,NA,NA,NA,NA,18.4,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-19T00:00:00Z,NA,NA,NA,NA,NA,NA,18.5,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-20T00:00:00Z,NA,NA,NA,NA,NA,NA,18.6,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-21T00:00:00Z,NA,NA,NA,NA,NA,NA,24,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-22T00:00:00Z,NA,NA,NA,NA,NA,NA,34,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-23T00:00:00Z,NA,NA,NA,NA,NA,NA,40.6,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-24T00:00:00Z,NA,NA,NA,NA,NA,NA,41.3,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-25T00:00:00Z,NA,NA,NA,NA,NA,NA,39.7,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-26T00:00:00Z,NA,NA,NA,NA,NA,NA,37.6,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-27T00:00:00Z,NA,NA,NA,NA,NA,NA,34.1,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-28T00:00:00Z,NA,NA,NA,NA,NA,NA,31.2,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-29T00:00:00Z,NA,NA,NA,NA,NA,NA,28.4,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-30T00:00:00Z,NA,NA,NA,NA,NA,NA,28.7,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-10-31T00:00:00Z,NA,NA,NA,NA,NA,NA,28.9,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-11-01T00:00:00Z,NA,NA,NA,NA,NA,NA,29.7,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-11-02T00:00:00Z,NA,NA,NA,NA,NA,NA,29.8,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-11-03T00:00:00Z,NA,NA,NA,NA,NA,NA,29.3,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-11-04T00:00:00Z,NA,NA,NA,NA,NA,NA,28.9,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101000,2023-11-05T00:00:00Z,NA,NA,NA,NA,NA,NA,28.5,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.75286948,-70.9456096
USGS,01101500,2023-10-07T00:00:00Z,NA,NA,NA,NA,NA,NA,64.8,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-08T00:00:00Z,NA,NA,NA,NA,NA,NA,62.5,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-09T00:00:00Z,NA,NA,NA,NA,NA,NA,56.5,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-10T00:00:00Z,NA,NA,NA,NA,NA,NA,51.2,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-11T00:00:00Z,NA,NA,NA,NA,NA,NA,48.6,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-12T00:00:00Z,NA,NA,NA,NA,NA,NA,46.1,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-13T00:00:00Z,NA,NA,NA,NA,NA,NA,43.2,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-14T00:00:00Z,NA,NA,NA,NA,NA,NA,40,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-15T00:00:00Z,NA,NA,NA,NA,NA,NA,38,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-16T00:00:00Z,NA,NA,NA,NA,NA,NA,36.6,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-17T00:00:00Z,NA,NA,NA,NA,NA,NA,36.2,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-18T00:00:00Z,NA,NA,NA,NA,NA,NA,35.4,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-19T00:00:00Z,NA,NA,NA,NA,NA,NA,35.5,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-20T00:00:00Z,NA,NA,NA,NA,NA,NA,35.8,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-21T00:00:00Z,NA,NA,NA,NA,NA,NA,41.9,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-22T00:00:00Z,NA,NA,NA,NA,NA,NA,76.2,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-23T00:00:00Z,NA,NA,NA,NA,NA,NA,73.8,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-24T00:00:00Z,NA,NA,NA,NA,NA,NA,64,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-25T00:00:00Z,NA,NA,NA,NA,NA,NA,56.6,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-26T00:00:00Z,NA,NA,NA,NA,NA,NA,51.3,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-27T00:00:00Z,NA,NA,NA,NA,NA,NA,47.1,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-28T00:00:00Z,NA,NA,NA,NA,NA,NA,44.9,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-29T00:00:00Z,NA,NA,NA,NA,NA,NA,46.8,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-30T00:00:00Z,NA,NA,NA,NA,NA,NA,62.2,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-10-31T00:00:00Z,NA,NA,NA,NA,NA,NA,82.6,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-11-01T00:00:00Z,NA,NA,NA,NA,NA,NA,76.9,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
USGS,01101500,2023-11-02T00:00:00Z,NA,NA,NA,NA,NA,NA,67.3,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTC,42.56953869,-71.0269974
